OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
1015,"Maeglodor, God of Thieves",The Fortress of Asmamur,-2.00,Violetstone Tin Of Death,175.00,2091.85,19.00,366073.7500,3325.0000,362010.77500000,09/29/2008 @ 12:00:00 AM
23493,"Selik, God of Death",The Fortress of Akkun the Grim,27.03,Planar Mudtin Of Trolls,241.00,191.40,174.00,46127.4000,41934.0000,111864.39642000,09/29/2008 @ 12:00:00 AM
11770,"Cult, Godseeker",Hafeld Keep,47.59,Sirens' Rockgold,19.00,306.13,278.30,5816.4700,5287.7000,16388.64450300,09/29/2008 @ 12:00:00 AM
1821,"Burnbrood, The Freezer",The Secret Shrine of the Gargoyle Count,19.77,Ghostly Magic Adamant,14.00,49.50,45.00,693.0000,630.0000,1584.55710000,09/29/2008 @ 12:00:00 AM
31001,"Burnchill, The Evil",The Tower of Sabiesu the Awesome,10.00,Foulopal Copper Of The Skies,252.00,221.83,221.83,55901.1600,55901.1600,122982.55200000,09/29/2008 @ 12:00:00 AM
32994,"Penur, Lord of the Sea",The Archer and Scroll,60.12,Fairies' Supreme Mistsmoke Lead Of The Future,328.00,499.73,549.70,163911.4400,180301.6000,551153.91964800,09/29/2008 @ 12:00:00 AM
742,"Rouge, Tombreaper",Bifar's Deep,10.09,Falserainbow Lead,194.00,872.99,58.00,169360.0600,11252.0000,198835.81685400,09/29/2008 @ 12:00:00 AM
27387,"Lightning, Brand",The Pirate's Pipe,16.94,Unknown Fatelightning Steel Of The Glacier,183.00,145.08,159.59,26549.6400,29204.9700,65199.44093400,09/29/2008 @ 12:00:00 AM
27573,"Flameflare, The Evil",The Bastion of Gothmog of Udun,-2.42,Unknown Fatelightning Steel Of The Glacier,280.00,145.08,159.59,40622.4000,44685.2000,83243.15608000,09/29/2008 @ 12:00:00 AM
15689,"Avriel, God of Death",The Tower of Aramum,20.00,Sirens' Rockgold,269.00,306.13,306.13,82348.9700,82348.9700,197637.52800000,09/29/2008 @ 12:00:00 AM
4476,"Melcha, Goddess of Thieves",Shainan's Hold,43.67,Yellow Mistearth Copper,151.00,3587.00,261.80,541637.0000,39531.8000,834965.21496000,09/29/2008 @ 12:00:00 AM
25160,"Ariel, God of Luck",The Fortress of Akkun the Grim,27.03,Incubi's Glittering Tin Of The Future,127.00,192.96,233.49,24505.9200,29653.2300,68798.36824500,09/29/2008 @ 12:00:00 AM
26887,"Sephiroth, Drakecaster",Reheath Stronghold,39.60,Foulopal Copper Of The Skies,348.00,221.83,201.66,77196.8400,70177.6800,205734.82992000,09/29/2008 @ 12:00:00 AM
